molecule,init_idx,traj[0] potential energy,traj[0] kinetic energy,traj[-1] potential energy,traj[-1] kinetic energy,total energy deviation (meV)
OC3H8,15700,-5291.19347104845,0.5948392252409702,-5290.782810612479,0.9017943031294532,717.6155138597879
OCNC3H9,193,-7837.547613881598,0.7666681504913424,-7837.327641691618,0.6736569769961942,126.96101648566471
N2C3H10,31102,-6256.721778073062,0.7666681504913423,-6255.5449389912455,2.1276510897549468,2537.822021079818
C8NH7,24807,-9905.868435623497,0.7972497188100374,-9906.259315835305,1.1643769202061458,-23.753010412094653
I2C2H4,22184,-18347.027361870052,0.3772075200336526,-18347.060296236876,0.4358655348588204,25.7236480014858
O2C4H10,24134,-8409.174249431779,0.7972497188100374,-8408.85557462034,0.8804567944732251,401.8818871020062
C3H4,29366,-3176.054854065545,0.3549066085604483,-3176.183154830705,0.8837835243219233,400.57615060162954
Br2CH2,9630,-141162.9893456896,0.22912440985892563,-141163.01532137353,0.44435015574575865,189.25006194403733
C2H2,34545,-2105.6605166629424,0.21889997587532573,-2105.650801517539,0.21285925356749386,3.674423095338608
SNC4H11,4179,-16657.6740806776,0.8418674768714295,-16657.557497401667,1.9193979657164246,1194.1137647785768
O3C2NC2H7,34911,-11900.760172379905,0.7666681504913424,-11901.066171075861,1.6374076472348875,564.7408007873753
Cl5C6H,49489,-68863.76618362768,0.5948392252409702,-68863.89290325207,0.6968356225937551,-24.723227028256467
ClC2H5,40468,-14681.512404055098,0.3772075200336526,-14681.530428993168,0.8682676206663469,473.0351625625649
FC4H9,40641,-7015.5154859133545,0.6764882889325234,-7015.584189025075,0.9493380513008312,204.14665064745364
O3C3H6,43692,-9354.174162817226,0.5948392252409702,-9354.333156508352,1.2110137606002966,457.1808442326857
OH2,32081,-2081.0594456594813,0.18911523634127572,-2081.0164097978186,0.15591304581351464,9.83367113500297
Cl6C2,30080,-77220.92351726706,0.3772075200336526,-77220.7906368459,0.2513784656638315,7.051366794667501
F2C2H4,14423,-7577.857168993075,0.3772075200336526,-7577.791328013133,0.9638943006898932,652.5277605982869
NCH5,28760,-2609.764109268051,0.35490660856044826,-2609.772162243176,0.3049929269659418,-57.966656719380005
O2SC3H6,7313,-18145.029755539977,0.5948392252409702,-18144.563354041027,1.7732130851917423,1644.7753589002662
O2CNC3H9,44344,-9884.086369748384,0.7972497188100374,-9883.410342787027,2.945477622039282,2824.2548645859806
O3C2NC3H9,22229,-12970.866109486784,0.8651925363983506,-12970.87932583126,3.6829962448995484,2804.587364024886
ONC4H11,18735,-7867.79222643983,0.8418674768714295,-7867.421300801161,1.3808918608641527,909.9500226615605
C2H4,45718,-2139.64339872381,0.25996196699014695,-2139.725191784761,0.34554550747747886,3.7904795361216603
OCN2C2H8,23881,-8273.80590527901,0.6764882889325236,-8272.672526541446,2.0821445261315614,2539.03497476349
C8NCH9,5875,-10976.34772974884,0.8676315033269025,-10976.489411617993,1.4150151584573507,405.70178597890794
C3H8,48228,-3243.7637023132224,0.5422428000137464,-3243.7014238231545,0.5430707836025636,63.10647365678024
O4C4N4C9H24,35799,-28041.950635967027,1.8467082837147477,-28040.806838398406,3.784987771680538,3082.0770565854896
O6C10N3C7H23,40359,-34779.38822644525,2.0074771147822124,-34779.035252566806,4.788073041957784,3133.569805616154
O3SC3N3C11H27,24423,-36425.52085388633,1.911764449115791,-36424.349901694266,6.084077261956035,5343.265004903886
O4C4N4C6H18,45129,-24830.500253382932,1.4960622961698204,-24829.023283066887,2.9973885111510445,2978.2965310260083
O6C5N4C7H20,14275,-31033.805791333092,1.7695305414864437,-31032.710970797223,6.637464128106313,5962.754122489872
O4C4N5C10H27,34423,-30619.228164543718,2.048742037607507,-30618.500832229896,6.873434546127832,5552.024822341128
O4C3N4C9H24,6846,-27003.353031319544,1.8355914369469621,-27002.395246093714,3.249664041985062,2371.857830867847
O3NC14N5C6H24,50175,-36238.94208849581,2.157061903338684,-36237.711938546534,3.8360001080328243,2909.088153972777
O6C4N3C7H19,36580,-28488.06434810667,1.7054819029932735,-28486.99132395587,4.455071431313814,3822.6136791212007
O5C4N3C10H25,6426,-29650.6223425622,1.9036972054525976,-29650.956381626445,4.73549222901536,2497.7559593173214
O3NC6N4C8H21,96,-28472.007464271323,1.822024498198497,-28470.92396982132,4.903291042662811,4164.760994464833
O3C9N3C9H27,29172,-29737.074011207158,2.0939165815305567,-29736.322692155976,6.043114054839246,4700.516524490176
O5C4N3C6H17,46338,-25369.9385683159,1.4377992417385248,-25369.589822840368,3.310992518678472,2221.9387524755584
O5C10N4C7H24,19337,-34241.01195303917,2.048742037607507,-34240.13511054467,4.037827307976956,2865.9277648703674
O4C3N3C9H23,20340,-25495.10422269488,1.7695305414864442,-25493.54160214604,8.575000981737197,8368.090989092609
O4SC4N4C8H22,2994,-37808.163136637406,1.822024498198497,-37807.36681327319,3.5382942801106134,2512.5931461243645
O3SC3N3C7H19,3875,-32143.917877857475,1.4960622961698204,-32142.507251167313,1.7031820182153363,1617.7464122083807
O3C3N4C11H28,42209,-27095.932266183772,2.0074771147822124,-27094.160047077246,2.866024203490267,2630.7661952330286
O4C17N4C6H26,30061,-38447.783068750105,2.325527949466798,-38447.28713397549,5.0192307963425815,3189.637621489216
O5C4N3C9H23,46280,-28582.95483983795,1.8355914369469621,-28581.7807265595,3.4972676343566054,2835.7894758580724
O3NC6N4C8H23,11496,-28504.976281907366,1.8467082837147475,-28503.875878443112,2.7323531251944915,1986.048305732197
O4C3N3C9H21,11510,-25460.517951344817,1.7216599076617813,-25459.952406999142,3.979103509901805,2822.9879479132405
O4C4N4C8H20,12008,-26938.360103312207,1.7216599076617813,-26937.712248379354,3.979097752426595,2905.2927776193583
O3C3N3C11H25,14896,-25555.856899437404,1.8467082837147477,-25555.01980211218,2.259202855076084,1249.5918965845472
O5SC4N3C8H21,36883,-38349.3519383341,1.7695305414864442,-38347.94728624652,2.7334765506431347,2368.598096737417
O4SC4N4C7H20,41561,-36736.314964116566,1.7216599076617813,-36735.00669235911,6.026832653079311,5613.444502874806
O3C9N3C6H21,48500,-26526.625804568015,1.769530541486444,-26526.493340223697,3.375993072312205,1738.9268751457105
O6C4N3C8H21,42898,-29557.855575806687,1.7695305414864442,-29556.463486807326,6.135547111512723,5758.1055693871285
O3NC6N4C6H19,14539,-26364.239814979144,1.705481902993273,-26363.272814688364,2.564705925063975,1826.2243128495868
O3SC11N4C6H22,12178,-40945.01086377437,1.9036972054525976,-40944.68492462488,7.155760159205867,5578.002103240753
O3SC3N4C9H24,35079,-35792.128244353626,1.8355914369469621,-35790.69234129575,5.926032883598122,5526.344504526386
O6C4N3C6H17,41291,-27419.83660901174,1.4960622961698204,-27418.503599387044,3.4251829961389566,3262.13032466696
O3C9N3C8H25,14593,-28667.19266433289,1.911764449115791,-28666.89240508971,9.467376077657072,7855.870871721352
O3C3N4C12H30,37154,-28163.400177288866,2.108560402986415,-28162.755612107627,5.032704712133824,3568.709490388199
O5C5N6C9H26,33912,-34141.21547126166,2.0939165815305567,-34135.477916168384,10.90874938550189,14552.387897250974
O4C9N3C7H23,19372,-29646.80960548284,1.8574809032964208,-29645.642537528205,3.8074861150820434,3117.0731664185205
O3C9N3C8H23,36485,-28636.216808835714,1.8574809032964206,-28635.30816101384,3.0444914202147384,2095.658338793981
O3C11N4C9H28,8915,-33322.25773221316,2.242031890796809,-33321.17971043226,2.945818910350007,1781.8088004571994
O4C9N3C5H19,14150,-27504.089141280863,1.721659907661781,-27504.18010454141,3.3017679302842824,1489.1447620740269
O6C5N4C6H18,44539,-29963.848640122484,1.705481902993273,-29961.5832223722,6.165902283662457,6725.838130952394
O3SC11N4C8H26,16383,-43085.75249428169,2.157061903338684,-43085.82459353241,5.131029837329212,2901.8686832700832
O5C4N3C7H19,13893,-26441.976220597036,1.6846316470837508,-26440.78854189728,2.9054319726101245,2408.4790252818325
O5C4N4C6H18,7884,-26877.279263909702,1.6172746111629053,-26876.476278373473,7.12445368702039,6310.1646120880805
O3SC3N4C11H28,5062,-37933.14606588608,2.048742037607507,-37930.91366896505,4.64762699762308,4831.281881052792
O5C4N4C7H20,47133,-27947.16160964477,1.7216599076617813,-27945.958893580868,4.0643598404590655,3545.415996699482
O3NC6N4C5H17,5206,-25293.593034759182,1.4960622961698207,-25293.188327672502,2.4979929897850472,1406.637780295587
O5SC4N3C7H19,27245,-37278.94137174793,1.7054819029932735,-37277.67281651135,4.746410918036757,4309.484251623285
O5C9N3C6H21,4781,-30624.21405875265,1.8355914369469621,-30622.152040680547,3.967301349959807,4193.727985114273
O3C3N3C8H21,36106,-22375.57673450659,1.6846316470837508,-22374.9530502548,2.662476120430098,1601.5287251357051
COC8NC3FC4FCONC3NCOCFH22,4684,-41959.77592019299,2.157061903338684,-41959.848527435875,8.228693900959325,5999.0247547307135
C3NCOCNC9FC2NC5NC3OH29,16318,-38154.40719100758,2.3788162843025167,-38154.99650519405,11.38876569163559,8420.635220858898
C7OCOC3NC9ONC2NC5NSNC4H39,42763,-57237.24176743474,3.031164768605524,-57236.29301723681,18.83657063197602,16754.15606130016
OCNC9N2C6ClC6FC2FC3NH17,48731,-54265.059251282975,2.1085604029864156,-54265.30593985043,4.854931708311462,2499.682737871251
C3NCSC2ONC6N2C3NCOC4SH27,16684,-54416.814143237105,2.2950245599111256,-54416.33208970925,5.7466948669996745,3933.723834941902
C7NCNC2NC8NC3ONC2ONC2H28,36736,-39438.860666178625,2.4102270660343272,-39439.23858148976,8.731941831469788,5943.799454306667
COCOC22NCH29,7715,-31999.976476322096,2.325527949466798,-31999.988779348394,8.367559780506749,6029.728804739696
C2NC4NC3NCNC3NCOC6F3C5NC6NCNH33,11840,-55872.77796726839,2.9679350244356746,-55871.387893561136,10.291095267577472,8713.233950392649
C5NCOCSCN2C3NCO2C4OC3H26,7075,-45131.759955080925,2.210870452780392,-45131.3811541954,7.403843492618986,5571.773925364658
OCNC4OC5F3C4NC9ONC3NC2OC2H33,32172,-53979.4025841127,2.898851418484617,-53979.05903409696,5.610542338564044,3055.2409358253612
C2OC6NCOC2OCOCNCNCNC6OC4H26,16016,-42568.92874904666,2.3788162843025167,-42567.745381206056,8.38490260473613,7189.454161040416
FCF2C6NC8NC2NC10H36,6856,-41229.28026937901,2.772932129695476,-41229.2885199281,6.324912917556477,3543.7302387637433
C3NC2NC6FC2NC2NC6OC4ClC2H36,27219,-51854.49607708611,2.7811101602053045,-51855.13856058517,8.506811345588039,5083.2176863189425
C2OC3ClC3OC3NC5ClC5OH25,15348,-54879.874603610144,2.1085604029864156,-54880.10247834734,5.673781503880799,3337.346363696622
C6NC3NOC8NCOC5H23,32565,-32808.898254614774,2.093916581530557,-32808.0441306246,8.46050012724809,7220.707535894853
C2NC6NC6ONC6ONOCNH23,46013,-35763.900729085086,2.1085604029864156,-35763.25219122322,5.930984969638134,4470.962428517294
C6NCNC8NC12H45,40554,-33222.5686714804,2.9353130805289616,-33223.10381547359,8.09722889313714,4626.771819424372
C2NC4NCOC5OC7OC2NC2OH27,24268,-36970.43753587821,2.325527949466798,-36968.20660331723,10.532990449878795,10438.39506139482
C5NCOC3OC8NC2OC4ONC6NH48,36649,-45031.948927146404,3.225164545321803,-45032.50483064771,7.179658283549108,3398.5902369238656
C4N2COC8NCONC2OC2H30,44628,-31274.856180865725,2.242031890796809,-31274.67828368731,5.792331243995644,3728.196531614501
C9OC8NC2OC3H29,14774,-28885.436042285386,2.210870452780392,-28886.07812715084,10.119999534456436,7267.0442162248655
C8ONC2OCNCONC4N2C3SH23,44984,-44526.60263291932,2.0939165815305567,-44526.58756215546,7.868708794107302,5789.862976436943
C3NCOCNC6ClC2NC2OC5NC6OH33,35622,-52147.8572607622,2.7119106874080043,-52147.267694782895,6.132884579638347,4010.5398715321776
CONCOC4OC7OCNC9H24,42980,-35426.35301911199,2.157061903338684,-35425.08207280141,10.900709501104519,10014.593908350877
COC6NC2NC2ONC5OC2H27,34790,-29733.147321985038,2.0939165815305567,-29733.541402232247,5.387792853533493,2899.796024792686
COC5NC3NCO2C11H30,14828,-31404.69772008071,2.2950245599111256,-31405.079547912464,6.664167060818129,3987.3146691518014
C9NC14O2C2NCH24,50040,-34449.55043353574,2.210870452780392,-34449.00203133167,5.214827645694543,3552.3593969824733
C6NCN2COC9SCN2H31,43430,-39523.41501626219,2.2950245599111256,-39521.937465103954,8.3414747558147,7524.001354135381
COC6NCNC2ClCNC4NC2OC4NC2NC2ONC4H36,45375,-59781.818827171315,2.936378239561081,-59780.631873243205,13.029402895677666,11279.978584227292
C4OCONC2OCONC5SC6H30,21676,-42216.3595490735,2.2950245599111256,-42214.19971788062,9.335537618968962,9200.344251943734
C5OC5NCOC2NC5NC3H31,18882,-30863.542178537566,2.325527949466798,-30862.314943632857,14.220601235078494,13122.308190321908
FCF2OC4NC3NC6NCNC5NC2H22,30641,-40845.132439080306,2.157061903338684,-40845.342017161944,6.399836607761767,4033.19662278817
CSO2NC9N2C13SNO2C2H24,10306,-62160.84015960798,2.3699840255261555,-62157.85067384303,12.476381606603798,13095.883346026876
