Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
295.0000         0.4128       0.2838       0.1290   997.8
296.0000         0.4127       0.2754       0.1372  1061.7
297.0000         0.4126       0.2777       0.1349  1043.7
298.0000         0.4127       0.2822       0.1304  1009.0
299.0000         0.4127       0.2754       0.1373  1062.4
300.0000         0.4126       0.2591       0.1535  1187.7
301.0000         0.4126       0.3003       0.1123   868.9
302.0000         0.4127       0.2947       0.1181   913.5
303.0000         0.4127       0.2823       0.1304  1008.7
304.0000         0.4127       0.2842       0.1285   994.1
305.0000         0.4127       0.2563       0.1564  1210.0
306.0000         0.4127       0.2703       0.1424  1101.3
307.0000         0.4126       0.2820       0.1306  1010.4
308.0000         0.4126       0.2627       0.1499  1159.7
309.0000         0.4125       0.2601       0.1524  1178.7
310.0000         0.4126       0.2640       0.1486  1149.7
311.0000         0.4126       0.2631       0.1495  1156.3
312.0000         0.4126       0.2675       0.1451  1122.7
313.0000         0.4126       0.2858       0.1268   980.9
314.0000         0.4126       0.2721       0.1405  1087.1
315.0000         0.4126       0.2800       0.1326  1025.8
316.0000         0.4126       0.2794       0.1332  1030.4
317.0000         0.4125       0.2656       0.1469  1136.8
318.0000         0.4127       0.2916       0.1211   936.8
319.0000         0.4125       0.2709       0.1416  1095.8
320.0000         0.4126       0.2741       0.1385  1071.3
321.0000         0.4128       0.2914       0.1214   939.0
322.0000         0.4125       0.2698       0.1428  1104.7
323.0000         0.4127       0.2843       0.1284   993.5
324.0000         0.4127       0.2802       0.1325  1025.2
325.0000         0.4127       0.2797       0.1330  1028.6
326.0000         0.4125       0.2721       0.1404  1086.1
327.0000         0.4127       0.2938       0.1189   919.5
328.0000         0.4126       0.2888       0.1238   957.6
329.0000         0.4126       0.2800       0.1327  1026.3
330.0000         0.4125       0.2932       0.1193   923.3
331.0000         0.4127       0.2942       0.1185   916.5
332.0000         0.4125       0.2802       0.1322  1022.9
333.0000         0.4126       0.2601       0.1524  1179.2
334.0000         0.4127       0.3002       0.1126   870.9
335.0000         0.4127       0.2718       0.1409  1090.0
336.0000         0.4127       0.2850       0.1277   987.8
337.0000         0.4125       0.2626       0.1500  1160.3
338.0000         0.4127       0.2736       0.1391  1076.0
339.0000         0.4126       0.2690       0.1436  1110.8
340.0000         0.4127       0.2708       0.1418  1097.3
341.0000         0.4125       0.2856       0.1269   981.6
342.0000         0.4128       0.3040       0.1088   841.8
343.0000         0.4128       0.2925       0.1204   931.3
344.0000         0.4127       0.2917       0.1210   936.4
345.0000         0.4128       0.2843       0.1285   993.9
346.0000         0.4127       0.2923       0.1205   931.9
347.0000         0.4126       0.2682       0.1444  1117.3
348.0000         0.4127       0.2559       0.1568  1212.9
349.0000         0.4126       0.2815       0.1312  1014.7
350.0000         0.4125       0.2737       0.1388  1073.8
351.0000         0.4127       0.2927       0.1200   928.3
352.0000         0.4124       0.2629       0.1495  1156.9
353.0000         0.4127       0.2866       0.1261   975.6
354.0000         0.4128       0.2891       0.1236   956.4
355.0000         0.4127       0.2962       0.1165   901.6
356.0000         0.4127       0.2751       0.1376  1064.3
357.0000         0.4127       0.2764       0.1363  1054.7
358.0000         0.4126       0.2863       0.1263   977.1
359.0000         0.4126       0.2864       0.1262   976.5
360.0000         0.4127       0.2799       0.1329  1027.9
361.0000         0.4127       0.2884       0.1242   961.2
362.0000         0.4126       0.2878       0.1248   965.3
363.0000         0.4125       0.2641       0.1484  1148.1
364.0000         0.4128       0.3092       0.1035   801.0
365.0000         0.4127       0.2996       0.1131   875.4
366.0000         0.4127       0.3028       0.1099   850.4
367.0000         0.4127       0.3000       0.1126   871.4
368.0000         0.4127       0.2724       0.1403  1085.5
369.0000         0.4130       0.3131       0.0998   772.3
370.0000         0.4127       0.2858       0.1269   981.6
371.0000         0.4125       0.2667       0.1458  1127.9
372.0000         0.4127       0.2918       0.1210   935.7
373.0000         0.4126       0.2774       0.1352  1046.0
