# this is for gemnet-dT! no energy drift it seems
Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
336.0000         0.3935       0.2433       0.1502  1162.2
337.0000         0.3935       0.2516       0.1419  1097.8
338.0000         0.3934       0.2597       0.1337  1034.6
339.0000         0.3934       0.2544       0.1390  1075.7
340.0000         0.3934       0.2379       0.1555  1203.0
341.0000         0.3935       0.2901       0.1033   799.5
342.0000         0.3934       0.2630       0.1304  1008.6
343.0000         0.3935       0.2738       0.1197   925.9
344.0000         0.3934       0.2330       0.1604  1240.6
345.0000         0.3933       0.2572       0.1362  1053.5
346.0000         0.3934       0.2497       0.1437  1112.0
347.0000         0.3933       0.2575       0.1358  1050.9
348.0000         0.3935       0.2743       0.1192   922.4
349.0000         0.3935       0.2633       0.1302  1007.3
350.0000         0.3933       0.2452       0.1480  1145.1
351.0000         0.3934       0.2572       0.1363  1054.1
352.0000         0.3934       0.2587       0.1346  1041.7
353.0000         0.3934       0.2541       0.1393  1077.5
354.0000         0.3934       0.2733       0.1201   929.2
355.0000         0.3935       0.2699       0.1236   956.2
356.0000         0.3933       0.2566       0.1367  1057.8
357.0000         0.3935       0.2652       0.1283   992.6
358.0000         0.3934       0.2709       0.1226   948.3
359.0000         0.3934       0.2596       0.1338  1035.3
360.0000         0.3934       0.2595       0.1339  1035.5
361.0000         0.3934       0.2570       0.1364  1055.2
362.0000         0.3934       0.2472       0.1461  1130.6
363.0000         0.3935       0.2476       0.1459  1128.4
364.0000         0.3934       0.2438       0.1495  1156.7
365.0000         0.3934       0.2464       0.1470  1136.9
366.0000         0.3934       0.2453       0.1482  1146.2
367.0000         0.3934       0.2476       0.1458  1128.3
368.0000         0.3934       0.2558       0.1376  1064.5
369.0000         0.3934       0.2479       0.1454  1125.1
370.0000         0.3935       0.2856       0.1079   834.7
371.0000         0.3934       0.2351       0.1583  1224.9
372.0000         0.3934       0.2841       0.1093   845.2
373.0000         0.3934       0.2730       0.1204   931.4
374.0000         0.3934       0.2786       0.1148   888.3
375.0000         0.3934       0.2862       0.1073   829.7
376.0000         0.3933       0.2770       0.1164   900.5
377.0000         0.3935       0.2991       0.0944   730.3
378.0000         0.3935       0.2897       0.1038   802.8
379.0000         0.3934       0.2921       0.1013   783.7
380.0000         0.3934       0.2786       0.1148   887.8
381.0000         0.3935       0.2913       0.1022   790.7
382.0000         0.3934       0.2763       0.1171   905.8
